hotel_id;location;remaining_rooms;rating
1;Rio de Janeiro;24;1
2;Rio de Janeiro;49;1
3;Rio de Janeiro;18;1
4;Rio de Janeiro;32;2
5;Rio de Janeiro;20;5
6;Curitiba;17;1
7;São Paulo;21;2
8;Porto Alegre;16;2
9;São Paulo;30;3
10;São Paulo;46;2
11;São Paulo;24;3
12;Rio de Janeiro;10;1
13;São Paulo;43;1
14;Belém;15;1
15;São Paulo;43;2
16;Belém;37;1
17;Rio de Janeiro;37;1
18;Porto Alegre;28;1
19;Porto Alegre;50;1
20;Rio de Janeiro;19;2
21;Belém;11;2
22;Porto Alegre;35;4
23;Curitiba;41;2
24;Curitiba;14;4
25;Belém;11;1
26;Porto Alegre;42;1
27;Belém;20;1
28;Belém;22;4
29;Rio de Janeiro;35;1
30;Rio de Janeiro;25;2
31;Rio de Janeiro;36;4
32;Rio de Janeiro;18;4
33;Belém;38;1
34;Rio de Janeiro;26;4
35;Porto Alegre;16;4
36;Porto Alegre;30;2
37;Porto Alegre;49;1
38;Curitiba;18;2
39;Rio de Janeiro;48;1
40;Rio de Janeiro;27;1
41;Rio de Janeiro;24;2
42;Rio de Janeiro;22;1
43;Rio de Janeiro;34;2
44;Rio de Janeiro;42;1
45;Curitiba;33;1
46;Curitiba;15;2
47;Porto Alegre;40;1
48;Rio de Janeiro;17;3
49;Porto Alegre;34;2
50;Rio de Janeiro;21;1
51;Porto Alegre;44;2
52;São Paulo;47;4
53;São Paulo;22;1
54;Rio de Janeiro;33;5
55;Porto Alegre;17;2
56;Rio de Janeiro;11;1
57;Rio de Janeiro;17;1
58;Porto Alegre;23;2
59;Porto Alegre;42;1
60;Porto Alegre;13;2
61;São Paulo;45;2
62;Rio de Janeiro;26;1
63;Porto Alegre;37;1
64;São Paulo;18;1
65;São Paulo;45;1
66;Rio de Janeiro;43;4
67;Rio de Janeiro;48;2
68;São Paulo;48;1
69;Rio de Janeiro;50;1
70;Rio de Janeiro;28;1
71;Rio de Janeiro;33;1
72;Rio de Janeiro;46;1
73;Porto Alegre;35;5
74;Rio de Janeiro;12;1
75;Rio de Janeiro;19;2
76;Curitiba;41;3
77;São Paulo;42;2
78;Porto Alegre;23;1
79;São Paulo;27;2
80;Rio de Janeiro;20;2
81;Porto Alegre;18;2
82;São Paulo;47;2
83;Rio de Janeiro;35;1
84;Rio de Janeiro;37;2
85;São Paulo;37;2
86;Curitiba;22;2
87;Porto Alegre;32;3
88;Porto Alegre;45;4
89;Porto Alegre;35;1
90;Rio de Janeiro;19;1
91;Belém;31;1
92;Curitiba;18;3
93;Rio de Janeiro;18;1
94;Belém;10;2
95;Belém;41;1
96;Porto Alegre;48;1
97;Belém;25;2
98;Porto Alegre;24;3
99;Rio de Janeiro;21;2
100;Rio de Janeiro;37;2
101;Rio de Janeiro;25;2
102;Porto Alegre;41;1
103;São Paulo;12;1
104;Rio de Janeiro;42;1
105;Porto Alegre;18;1
106;Porto Alegre;35;5
107;Rio de Janeiro;49;1
108;Porto Alegre;28;2
109;São Paulo;19;2
110;Belém;12;3
111;Rio de Janeiro;45;3
112;Rio de Janeiro;36;2
113;São Paulo;38;1
114;Rio de Janeiro;25;4
115;Rio de Janeiro;38;1
116;Rio de Janeiro;17;1
117;Porto Alegre;32;1
118;Curitiba;48;1
119;Curitiba;48;2
120;Rio de Janeiro;10;2
121;Rio de Janeiro;44;1
