hotel_id;room_id;taken;cost;type;room_capacity
1;1;0;160;partners;3
1;2;0;109;family;5
1;3;0;211;family;4
1;4;0;104;single;1
1;5;0;113;family;6
1;6;0;138;partners;2
1;7;0;160;family;6
1;8;0;106;family;4
1;9;0;195;family;8
1;10;0;146;partners;3
1;11;0;129;partners;2
1;12;0;103;family;6
1;13;0;202;family;5
1;14;0;231;single;1
1;15;0;156;partners;2
1;16;0;212;family;5
1;17;0;100;family;7
1;18;0;179;family;6
1;19;0;120;family;7
1;20;0;137;family;5
1;21;0;107;family;8
1;22;0;242;partners;2
1;23;0;119;single;1
1;24;0;207;partners;2
2;1;0;101;family;5
2;2;0;128;family;5
2;3;0;148;family;8
2;4;0;154;family;4
2;5;0;156;family;7
2;6;0;211;partners;3
2;7;0;138;single;1
2;8;0;232;family;5
2;9;0;184;family;4
2;10;0;109;family;6
2;11;0;246;family;7
2;12;0;101;family;7
2;13;0;109;partners;3
2;14;0;148;family;6
2;15;0;141;family;8
2;16;0;159;family;4
2;17;0;150;partners;3
2;18;0;154;family;5
2;19;0;102;partners;3
2;20;0;173;family;5
2;21;0;111;family;7
2;22;0;190;family;6
2;23;0;108;family;8
2;24;0;149;single;1
2;25;0;241;family;5
2;26;0;244;family;8
2;27;0;225;family;4
2;28;0;151;family;8
2;29;0;131;partners;3
2;30;0;182;single;1
2;31;0;169;family;6
2;32;0;240;family;6
2;33;0;121;partners;3
2;34;0;119;family;8
2;35;0;106;partners;2
2;36;0;103;family;7
2;37;0;180;family;4
2;38;0;127;family;4
2;39;0;242;family;6
2;40;0;239;partners;2
2;41;0;184;family;4
2;42;0;158;partners;3
2;43;0;196;family;4
2;44;0;228;family;6
2;45;0;188;partners;2
2;46;0;215;partners;2
2;47;0;248;partners;2
2;48;0;195;family;8
2;49;0;169;single;1
3;1;0;134;family;7
3;2;0;165;family;8
3;3;0;165;family;6
3;4;0;140;family;4
3;5;0;163;single;1
3;6;0;219;family;8
3;7;0;106;partners;3
3;8;0;130;family;6
3;9;0;182;family;4
3;10;0;203;partners;3
3;11;0;193;partners;2
3;12;0;228;family;8
3;13;0;175;partners;2
3;14;0;199;family;6
3;15;0;145;family;5
3;16;0;195;partners;3
3;17;0;101;family;8
3;18;0;130;family;6
4;1;0;201;single;1
4;2;0;298;partners;3
4;3;0;331;single;1
4;4;0;250;family;5
4;5;0;250;family;6
4;6;0;367;single;1
4;7;0;274;family;4
4;8;0;235;family;6
4;9;0;390;family;5
4;10;0;269;partners;2
4;11;0;219;partners;2
4;12;0;234;family;7
4;13;0;279;family;5
4;14;0;362;family;4
4;15;0;227;family;4
4;16;0;336;family;5
4;17;0;238;partners;2
4;18;0;382;family;7
4;19;0;257;family;8
4;20;0;399;family;6
4;21;0;226;family;5
4;22;0;217;family;8
4;23;0;271;partners;3
4;24;0;345;family;6
4;25;0;381;partners;2
4;26;0;353;partners;3
4;27;0;264;family;8
4;28;0;207;family;7
4;29;0;337;family;6
4;30;0;387;family;7
4;31;0;265;partners;2
4;32;0;255;family;7
5;1;0;5472;family;7
5;2;0;2107;family;6
5;3;0;2122;family;6
5;4;0;8796;family;4
5;5;0;4095;partners;2
